,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,750,2.426089918680465,-0.03297007168905857,2.7678347893250295,0.47774635245784736,0.02842737117734475,-0.03297007170816262,1.5649538471148565,,1.00169171889623,20000,92,0,26.64568281173706,0.0
1,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,751,4.038612367341903,-0.0037675174144216074,2.7273921795380422,0.0688053656106767,0.0033073534599493424,-0.0037675174047203303,4.554640958859371,,1.0015452473591535,40000,194,1,53.24007773399353,0.0
2,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,744,7.414188431307491,-0.02292038901971701,2.640143234607501,0.09712051174197442,0.02085480123806076,-0.02292038881673645,2.279980160945501,,1.0016934319184376,60000,294,2,80.58067989349365,0.0
3,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,737,9.546376491541311,-0.016374751262796614,2.5958485380197183,0.12025288227850046,0.015442292168975259,-0.016374751259214605,0.218801748389617,,0.9988456329474082,80000,402,3,108.49977278709412,0.0
4,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,724,8.357617628441165,-0.0314644069578021,2.4953624551112834,0.11976245409594133,0.030237896465815796,-0.03146440678825363,2.3487480087158006,,1.003687160748702,100000,555,4,138.04644083976746,0.0
5,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,718,6.8836565632031395,-0.03403931120171761,2.399247315602425,0.1224472672941211,0.03290076469524931,-0.03403931103694515,0.9296721506577271,,1.0010836810637742,120000,762,5,167.0902578830719,0.0
6,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,708,4.49565891103962,-0.04183126937789031,2.2331496223425256,0.11574106580840471,0.0412731917336201,-0.04183126931102612,0.37226305944033156,,0.9976586159987327,140000,1046,6,197.56229090690613,0.0
7,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,702,3.546531380771479,-0.02653549980993072,2.03392849732668,0.11318019502915633,0.026022362143087844,-0.026535499652322287,2.273299808379931,,1.0016114463408787,160000,1377,7,227.73417496681213,0.0
8,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,695,5.060235005043046,-0.03451854295980854,1.8848143140474956,0.11287340455187055,0.033478601472691084,-0.03451854292637645,0.5784524199290153,,0.9970007656476436,180000,1721,8,258.67837381362915,0.0
9,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,691,4.230297930775525,-0.03787942767764131,1.728118876157663,0.11741024208708833,0.03618611988062278,-0.03787942778510161,4.614855438623673,,1.0006266756699636,200000,2095,9,289.19444584846497,0.0
10,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,686,3.3867564741786738,-0.01696425912400278,1.5271138024635804,0.12290061110009749,0.016287630242414964,-0.016964259104898724,0.8933506983977098,,1.0003862366462366,220000,2515,10,320.2687609195709,0.0
11,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,681,3.852063866165657,-0.05873843620602901,1.3750804859858292,0.13065427648476682,0.05607323725349628,-0.05873843637318947,2.1870267137503014,,0.9974657877133443,240000,2952,11,352.3688337802887,0.0
12,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,657,7.811145605967198,-0.056325158218924816,1.2459416792942928,0.18517569666489578,0.055632343243520996,-0.05632515817116469,0.6938434611528348,,1.0002802913005535,260000,3349,12,395.15698981285095,0.01
13,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,631,7.010908494713521,-0.06602641980235394,1.0928995088124887,0.17965158770004144,0.06447319018248564,-0.06602641961608942,2.450620946211693,,1.0026094676592412,280000,3778,13,443.1677439212799,0.01
14,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,620,18.049560152183133,-0.06324975262276637,0.9805199869168111,0.253012027266698,0.06289790843923887,-0.06324975286634305,2.3410220983700873,,1.0008405407269796,300000,4122,14,483.5518479347229,0.01
15,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,608,33.93771208527514,-0.050155174608031906,0.8845286304369951,0.2755605203027909,0.049989569898790276,-0.050155174674896094,1.5283554737384504,,1.0005244047213824,320000,4398,15,525.8561160564423,0.03
16,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,603,26.29186455396397,-0.06352407340055857,0.7309531562603437,0.25965497442162955,0.06335847517714287,-0.06352407343876668,0.9561211002942843,,1.0015398516104772,340000,4719,16,563.5083467960358,0.04
17,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,598,17.93273316618106,-0.09637924719315309,0.6286595131342227,0.2512126506234591,0.09627135464778314,-0.0963792467633119,1.8644289528712248,,1.0003756874646896,360000,5084,17,601.0551266670227,0.03
18,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,591,28.494567946281634,-0.06728925634271059,0.49432565363553854,0.2620987991874035,0.06692026714101816,-0.06728925619465419,0.9326980227079147,,1.0015071808527678,380000,5402,18,641.9902279376984,0.05
