,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q
0,Pendulum-v0,662,-1340.9117513500828,1199,6,1.8109731674194336,8.975372314453125,0.7023717164993286,-9.204303741455078
1,Pendulum-v0,188,-1408.313548866014,2199,11,11.643762111663818,23.298202514648438,2.3124587535858154,-23.559326171875
2,Pendulum-v0,139,-1411.029106444233,3199,16,22.864256143569946,37.277809143066406,21.348045349121094,-37.910133361816406
3,Pendulum-v0,120,-1376.7098104624022,4199,21,34.96712613105774,52.014793395996094,1.6993939876556396,-53.132713317871094
4,Pendulum-v0,106,-1353.29868824711,5199,26,48.91970109939575,62.82373809814453,29.58806037902832,-64.27375030517578
5,Pendulum-v0,101,-1314.4524868074059,6199,31,61.03737711906433,76.86262512207031,89.55622863769531,-77.84053802490234
6,Pendulum-v0,98,-1240.1135478649146,7199,36,73.01470518112183,81.6427001953125,93.56529235839844,-82.26690673828125
7,Pendulum-v0,94,-1135.2225969797173,8199,41,86.38604617118835,85.65945434570312,4.701163291931152,-86.72124481201172
8,Pendulum-v0,92,-1031.3066083354367,9199,46,99.70470118522644,87.65491485595703,234.33575439453125,-89.0543212890625
9,Pendulum-v0,89,-944.9367467912849,10199,51,113.56267023086548,87.24504089355469,13.30696964263916,-89.6318588256836
10,Pendulum-v0,87,-913.6955320914493,11199,56,127.82121109962463,85.74142456054688,8.34278678894043,-87.76506042480469
11,Pendulum-v0,85,-871.1653035145598,12199,61,143.041668176651,84.65247344970703,7.306055068969727,-85.58097076416016
12,Pendulum-v0,82,-814.2062953853053,13199,66,159.06726908683777,80.98104095458984,114.63754272460938,-82.128173828125
13,Pendulum-v0,80,-766.9401789226392,14199,71,177.35527920722961,88.24170684814453,153.0196533203125,-88.07308197021484
14,Pendulum-v0,76,-722.7980797530039,15199,76,198.01706910133362,88.62447357177734,38.62482452392578,-91.4759292602539
15,Pendulum-v0,73,-690.7500514222165,16199,81,219.46861910820007,73.56968688964844,150.4147186279297,-75.52743530273438
16,Pendulum-v0,72,-681.9370857377324,17199,86,237.50444316864014,73.95455169677734,523.505615234375,-73.93702697753906
17,Pendulum-v0,71,-662.6364069930104,18199,91,254.5909559726715,82.71489715576172,8.666791915893555,-84.35269165039062
18,Pendulum-v0,71,-644.900974410093,19199,96,270.0833201408386,74.2396469116211,12.074029922485352,-76.35424041748047
19,Pendulum-v0,70,-612.5059522841071,20199,101,286.029470205307,90.15670776367188,13.429939270019531,-91.76924133300781
20,Pendulum-v0,69,-561.6025981656978,21199,106,303.0974152088165,74.92452239990234,57.39796829223633,-75.77587890625
21,Pendulum-v0,68,-496.8696069042898,22199,111,321.8721091747284,69.57732391357422,8.312409400939941,-71.72112274169922
22,Pendulum-v0,68,-435.5535149631269,23199,116,337.4507691860199,81.31924438476562,239.72091674804688,-81.97111511230469
23,Pendulum-v0,68,-380.91525276043365,24199,121,352.4146113395691,75.11175537109375,12.602100372314453,-76.77012634277344
24,Pendulum-v0,68,-326.7308114903939,25199,126,365.66537594795227,70.2351303100586,11.679262161254883,-73.19961547851562
25,Pendulum-v0,69,-277.09079033743666,26199,131,378.5080201625824,65.55813598632812,717.123779296875,-66.76953125
26,Pendulum-v0,69,-249.12348265784556,27199,136,390.9710111618042,60.92789077758789,15.981088638305664,-62.923519134521484
27,Pendulum-v0,70,-239.56589475394046,28199,141,402.8171100616455,60.195716857910156,10.484171867370605,-61.832271575927734
28,Pendulum-v0,70,-239.70598188946136,29199,146,414.33290815353394,70.1799087524414,15.036149024963379,-73.1749496459961
29,Pendulum-v0,70,-240.49976930918191,30199,151,426.967041015625,68.74166870117188,9.209726333618164,-69.74057006835938
30,Pendulum-v0,70,-217.86796964747228,31199,156,439.8664622306824,51.114383697509766,10.972787857055664,-53.34328842163086
31,Pendulum-v0,71,-205.18380894937033,32199,161,453.2881591320038,66.59239959716797,99.4283447265625,-67.70718383789062
32,Pendulum-v0,71,-207.49674371106167,33199,166,466.3794102668762,60.053802490234375,534.8250732421875,-61.00932312011719
33,Pendulum-v0,71,-210.80822530206646,34199,171,479.76361322402954,59.26771545410156,573.1181640625,-60.55859375
34,Pendulum-v0,71,-215.08052181988694,35199,176,492.83237504959106,55.12832260131836,6.333438396453857,-56.88197326660156
35,Pendulum-v0,71,-215.76832121568663,36199,181,505.48115611076355,50.2071533203125,490.77197265625,-51.05095672607422
36,Pendulum-v0,71,-195.93906434145555,37199,186,517.8560690879822,49.543243408203125,17.241649627685547,-51.27858352661133
37,Pendulum-v0,71,-184.1724523775994,38199,191,530.6282880306244,49.23823165893555,12.14065933227539,-51.66728973388672
38,Pendulum-v0,72,-178.39845271736223,39199,196,543.1754331588745,46.67213821411133,5.560183525085449,-48.07849884033203
39,Pendulum-v0,72,-178.51704681831367,40199,201,555.9446980953217,57.58770751953125,215.922119140625,-58.56618118286133
40,Pendulum-v0,72,-171.07173152470065,41199,206,568.3599002361298,42.06650161743164,6.915347099304199,-43.46221923828125
41,Pendulum-v0,72,-166.16664450120035,42199,211,581.1082270145416,40.26626205444336,11.89498519897461,-41.62079620361328
42,Pendulum-v0,72,-162.5477063040962,43199,216,593.6765649318695,42.56971740722656,8.842823028564453,-44.59385681152344
43,Pendulum-v0,72,-161.25361259583363,44199,221,606.7753462791443,47.01180648803711,431.4792175292969,-47.58648681640625
44,Pendulum-v0,72,-159.9129880218688,45199,226,619.6901323795319,43.35986328125,419.6049499511719,-44.154972076416016
