,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,data/,853,2.583688816305119,1004,5,1.1761279106140137,,,,0.0
1,data/,849,2.2061151997429964,2009,10,2.3637149333953857,,,,0.0
2,data/,848,2.2384661513606474,3014,15,3.5534069538116455,,,,0.0
3,data/,841,2.1282351588503383,4019,20,4.775660037994385,,,,0.0
4,data/,843,2.198170418289238,5024,25,5.9576990604400635,,,,0.0
5,data/,836,2.180467198443809,6029,30,7.210908889770508,,,,0.0
6,data/,836,2.241758290560456,7034,35,8.411779880523682,,,,0.0
7,data/,815,2.1782313408897584,8039,40,9.860213994979858,,,,0.0
8,data/,817,2.1709076479715077,9044,45,11.056314945220947,,,,0.0
