,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2607,22.42,8.01469506815267e-05,0.6931463562525235,44.73995826916817,44.74003844138903,17.15260537709945,8.468637466430664,1.0,20000,909,0,7.66999077796936
1,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2605,21.57,5.720641123704039e-05,0.6931463259152877,44.662485460134654,44.66254310118846,17.412325874964395,8.500523567199707,1.0,40000,1799,1,15.353368997573853
2,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2596,22.8,-1.0628803657033505e-05,0.6931463243869634,44.96751020382612,44.96749956668952,17.215672272902268,8.495292663574219,1.0,60000,2703,2,23.105294704437256
3,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2614,22.31,-4.9887387117800806e-05,0.6931464620889761,44.82874137193729,44.828691502106494,17.047694793114296,8.499465942382812,1.0,80000,3598,3,30.600791931152344
4,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2598,19.77,1.56866404442833e-05,0.6931462930563169,44.70862354865441,44.708639311179134,17.345896371205647,8.475364685058594,1.0,100000,4506,4,38.48629283905029
5,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2633,20.66,0.00013608149915503767,0.6931463207954015,46.133066138243066,46.13320213220058,17.579461727386867,8.612890243530273,1.0,120000,5390,5,45.57397389411926
6,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2653,24.43,8.048833682177923e-05,0.6931463775726465,44.66237028073042,44.662450770842725,17.19071865570851,8.468683242797852,1.0,140000,6299,6,52.758973836898804
7,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2667,23.31,-2.544155965248744e-06,0.6931462613435891,45.177898079309706,45.177895340552695,17.392127638596754,8.533575057983398,1.0,160000,7191,7,59.97059774398804
8,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2681,21.34,1.7687281330999656e-05,0.6931463988163532,44.5206007248316,44.52061837514241,17.140444601499116,8.456164360046387,1.0,180000,8101,8,67.12688684463501
9,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2695,21.35,2.5434071460786538e-05,0.6931463254567904,45.78131180298634,45.78133706312913,17.320346857951236,8.587085723876953,1.0,200000,8988,9,74.18910384178162
10,/Users/ValenXie/assignment-2022fall/assignment3/CartPole-v0/ppo,2703,23.34,-5.462162304096497e-05,0.693146363970561,45.356750987126276,45.35669631958008,17.37488171381828,8.54738712310791,1.0,220000,9878,10,81.38757991790771
