,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,862,11.710376371403013,4.64897856522256e-05,2.8335965636448983,0.03412711791073283,0.03417360752489633,1.890368367616947,0.20638364553451538,1.0,20000,11,0,23.18668007850647,0.0
1,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,893,11.541385090571884,8.195108638550991e-05,2.833587432824648,0.04002526136449514,0.0401072119175343,1.8331579353564824,0.20757092535495758,1.0,40000,33,1,44.79073882102966,0.0
2,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,880,11.767468338271218,-2.5831168302549767e-05,2.8335820977504436,0.04667186951025938,0.04664603727242838,1.7715008365802276,0.20870435237884521,1.0,60000,56,2,68.1207709312439,0.0
3,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,905,11.817485654606521,0.00013346788130151347,2.833591371316176,0.04509822400047993,0.045231691294704945,1.8099711610720708,0.20793798565864563,1.0,80000,78,3,88.38273000717163,0.0
4,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,918,11.879289982543861,-2.199852367480978e-05,2.8335993320513992,0.03967606492388325,0.039654066450804326,1.8206252934076848,0.2087843269109726,1.0,100000,99,4,108.87338209152222,0.0
5,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,916,11.891352626722137,7.170439751532215e-05,2.833583803054614,0.03255583059329253,0.03262753493998809,1.8753418505191803,0.20406115055084229,1.0,120000,120,5,130.9873571395874,0.0
6,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,914,11.98284665222904,-1.1881642067470612e-05,2.8335930491105104,0.041057724804163746,0.04104584396379486,1.8724205342622904,0.21107150614261627,1.0,140000,141,6,153.1402039527893,0.0
7,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,909,11.782084238148503,-5.256298075740536e-05,2.8336040172821435,0.053733443146428236,0.05368087993970571,1.6730954922162569,0.1915932148694992,1.0,160000,163,7,175.92878317832947,0.0
8,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,903,11.747451739689746,-4.3837823427449436e-05,2.8335712004930547,0.0327102107139161,0.032666372759148285,1.8783330497069237,0.20529982447624207,1.0,180000,183,8,199.26921200752258,0.0
9,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,903,11.64440331834491,-4.916335038172129e-05,2.8335919233468863,0.045146032164876275,0.04509686876554042,1.7312814130232885,0.19992005825042725,1.0,200000,204,9,221.2421429157257,0.0
10,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,906,11.538422539492844,-3.594309569169313e-05,2.8336265353056103,0.044120806663368754,0.044084863376636536,1.7072687576978633,0.19947606325149536,1.0,220000,226,10,242.80549716949463,0.0
11,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,913,11.302151687262565,-6.083876061706971e-06,2.8336044571338554,0.04335185432902131,0.043345769524099666,1.7606639188069564,0.20129412412643433,1.0,240000,248,11,262.64045095443726,0.0
12,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,913,11.479804201159114,-0.00017225762817244498,2.833600186384641,0.04430726308089036,0.044135004718032764,1.6983934083046057,0.20422637462615967,1.0,260000,268,12,284.69050788879395,0.0
13,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,909,11.469443215929312,-0.00011735041192971552,2.8336181824023905,0.04055302512999146,0.04043567569938321,1.8455312293309432,0.2116355150938034,1.0,280000,288,13,307.7440719604492,0.0
14,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,910,11.567941259474074,2.6199004302422206e-05,2.833609386590811,0.03515698378905654,0.03518318279664247,1.953098727648075,0.21177265048027039,1.0,300000,309,14,329.56602787971497,0.0
15,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,909,11.724700727154188,9.160156821449979e-05,2.833621993431678,0.04851310853726971,0.048604709519377835,1.6699622138952597,0.19304363429546356,1.0,320000,330,15,351.89895009994507,0.0
16,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,907,11.454968712979188,-3.3696241772327666e-06,2.8336104772029778,0.06329345201404812,0.06329008498652958,1.5515408670290922,0.18979379534721375,1.0,340000,354,16,374.4710030555725,0.0
17,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,906,11.383656575075257,-8.718733562347598e-05,2.8335842337363806,0.04083685907177054,0.04074967071758762,1.834146986863552,0.21054360270500183,1.0,360000,374,17,397.2486479282379,0.0
18,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,908,11.420549155749468,-4.913505653325373e-05,2.8336241578444454,0.035520828477083106,0.03547169272108779,1.9708868491343963,0.21225431561470032,1.0,380000,395,18,418.22886085510254,0.0
19,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,912,11.250907498632916,5.103992447495843e-05,2.8336270329279776,0.04343108456963912,0.04348212583348728,1.7527248705044771,0.19860750436782837,1.0,400000,417,19,438.17591404914856,0.0
20,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,914,11.254534922664256,0.0001403845804862869,2.8336353338681732,0.05137863628900586,0.05151902107978598,1.7473704382395132,0.2031693458557129,1.0,420000,439,20,459.2739200592041,0.0
21,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,914,11.940828664670585,2.7909962078317616e-05,2.8335999690569365,0.034595216968311714,0.03462312719993628,1.9179153326230172,0.2128852754831314,1.0,440000,460,21,481.06977701187134,0.0
22,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,914,11.97745972872598,0.00011799291600115025,2.833593185742696,0.0370541200423852,0.03717211268018358,2.0198709963223873,0.2189478576183319,1.0,460000,480,22,502.82404494285583,0.0
23,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,915,11.964542084031434,-3.267570924109373e-05,2.83361862714474,0.04651771777858719,0.046485041997705895,1.754204954397984,0.20993849635124207,1.0,480000,501,23,524.3555839061737,0.0
24,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,908,11.89241623478295,-2.720775634933932e-05,2.8336151819962723,0.06071375749575404,0.06068654991656494,1.6419552865700844,0.19172759354114532,1.0,500000,524,24,550.0781271457672,0.0
25,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,898,11.67999363796787,9.499569841397878e-05,2.8335964997609455,0.042837990409670734,0.042932986177113025,1.7155703556843294,0.19638527929782867,1.0,520000,547,25,578.9079961776733,0.0
26,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,219,11.383749703194267,-0.00010742230881124925,2.8336250708653377,0.0376681226448944,0.037560698196727735,1.7118826814186878,0.1983373612165451,1.0,540000,568,26,2458.8838419914246,0.0
27,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,223,11.061157318055459,2.6736237132587495e-05,2.833612484504015,0.05522149347533018,0.055248229381126855,1.724978199830422,0.19718873500823975,1.0,560000,590,27,2500.824166059494,0.0
28,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,227,11.00451386428309,7.210649723091569e-05,2.833614578919533,0.039416980526099606,0.03948908888642342,1.8125335399921123,0.20367860794067383,1.0,580000,611,28,2551.161390066147,0.0
29,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,231,11.132633252112042,-6.53403993242253e-05,2.8336135185681854,0.047358796341965596,0.04729345701694584,1.6259412138889997,0.1919916421175003,1.0,600000,632,29,2588.3770620822906,0.0
30,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,236,11.228849979780241,0.00014553348330828623,2.833612756851392,0.04392554088949393,0.044071074471456737,1.700176120415712,0.20410436391830444,1.0,620000,654,30,2623.5209460258484,0.0
31,/Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/ppo,202,11.169249345442525,-7.086816327407574e-05,2.833572840690613,0.049163369640994534,0.04909250111951947,1.7211421966552733,0.19649340212345123,1.0,640000,677,31,3158.233467102051,0.0
